,title,videoId,viewCount,likeCount,dislikeCount,commentCount,videoDuration,Date
5,Sama Jordan BBC ARABIC l`lm hdh lms Dyf lnshr@ mn `mn ldktwr llw fyz ldwyry,l0bNtKa6lG0,1965,15,1,1,PT20M48S,2018-06-17T19:49:39.000Z
6,BBC Arabic TV 2014 03 11 19 06 04,wYxpBbA399c,1012,5,0,0,PT51M57S,2014-05-29T13:00:04.000Z
7,lfylm lwthy'qy: lkhlyl - slH lHy@,5JVuMmgmEHw,3988,57,5,15,PT52M24S,2018-07-18T09:50:40.000Z
8,"""bl qywd"" m` lktb@ wlrwy'y@ lmSry@ nwl ls`dwy",Ovr2_fUUDMU,61240,861,394,924,PT25M50S,2018-07-01T22:45:00.000Z
9,lfylm lwthy'qy: lkhlyl - byn lmstwTnyn,0i_Q55zC6jE,5698,39,40,36,PT52M5S,2018-07-10T20:51:32.000Z
10,lktb@ wlnshT@ lHqwqy@ ls`wdy@  d. hl@ ldwsry  fy bl qywd,O5xbp7KgTvc,20287,164,93,108,PT23M38S,2016-10-10T13:25:15.000Z
11,m jdy@ thdydt yrn bGlq mDyq hrmz?,RYE0KOrcOEA,4771,38,8,21,PT51M40S,2018-07-10T12:01:52.000Z
12,mn rshyf hyy'@ ldh`@ lbryTny@ BBC Arabic,IjqCAoa7S1s,67868,323,19,31,PT29M23S,2014-08-20T17:35:22.000Z
13,BBC Arabic Radio documentary: Arab Asylum Seekers in UK,VRhh2idGzqg,42976,92,15,7,PT23M44S,2011-06-03T14:26:51.000Z
14,lslsl@ lwthy'qy@ fr`n@ mSr lm`Srwn: nSr,YvZ_ngOvsgk,654215,3572,424,560,PT57M38S,2016-01-26T16:47:23.000Z
15,lfylm lwthy'qy: HSr mk@,hXDQSsLx8qQ,1339968,9001,2354,2338,PT1H,2017-07-11T18:44:58.000Z
16,"""bl qywd"" m` wzyrlshw'wn lkhrjy@ wlt`wn ldwly lSwmly 'Hmd `ys~ `wD",cUxd5Ha-rGg,13122,138,11,111,PT25M37S,2018-05-13T19:08:41.000Z
17,12/12/2017 BBC Arabic l`lm hdh lms - d. mHmwd l`zny,BtTu4qUolQA,403,4,1,0,PT22M40S,2017-12-14T00:47:09.000Z
18,Cherifa kheddar sur Duniana de BBC Arabic,4s9as6-2lyI,421,2,0,0,PT34M50S,2014-10-07T16:09:57.000Z
19,BBC Arabic Palestine MBS 2018 04 03 19 03 54,hE1_ZFt19z4,619,8,2,0,PT22M44S,2018-04-06T17:57:26.000Z
20,An exclusive interview on program Al Mashhad- BBC Arabic TV,8dRifCZyaRo,3340,0,0,0,PT39M10S,2017-02-05T11:40:24.000Z
21,hl  'Sbt ls`wdy@ 'm 'khT't fy systh fy lymn? brnmj nqT@ Hwr,c7blZPmbmEY,53862,253,93,174,PT51M35S,2017-10-02T11:44:45.000Z
22,'  `bdlmjyd ljll  BBC Arabic 2018 02 28,sZZrs_sDEbg,75,0,0,0,PT20M13S,2018-02-28T19:27:16.000Z
23,mqbl@ khS@ m` lry'ys lmSry `bd lftH lsysy   BBC Arabic,WfUJEDss57o,24847,102,37,14,PT44M28S,2015-11-06T03:32:45.000Z
24,Sama Jordan BBC ARABIC l`lm hdh lms Dyf lnshr@ mn `mn ldktwr llw fyz ldwyry,5fYqesqty8Y,1285,16,4,13,PT24M39S,2018-07-08T21:49:17.000Z
25,Sama Jordan BBC ARABIC tGTy@ khS@ lk's l`lm bstDf@ lsyd@ 'zd `bd lbsT,efNl2bey1IY,365,5,0,0,PT20M31S,2018-07-16T07:54:30.000Z
26,BBC Arabic  slymn l`qyly 23 4 2018,nYPu_26-ZLY,200,3,0,0,PT35M42S,2018-04-23T20:25:42.000Z
27,Sama Jordan BBC Arabic l`lm hdh lms Dyf lnshr@ mn `mn ldktwr zyd lnwys@,4JPDFxgODKI,439,10,0,2,PT28M8S,2018-07-07T05:12:16.000Z
